id,created,primary,nauth,flags
2503.00001,2026-05-07,math.GM,2,
2503.00004,2025-02-14,math.NT,2,
2503.00006,2025-02-15,math.QA,1,
2503.00009,2025-02-16,math.RT,2,
2503.00010,2025-02-17,math.RT,2,
2503.00014,2026-02-03,math.ST,2,
2503.00017,2025-02-20,math-ph,1,
2503.00021,2026-01-24,math.MG,2,
2503.00033,2025-07-02,cs.LG,2,
2503.00105,2025-11-05,cond-mat.str-el,3,
2503.00123,2025-03-18,math.SG,1,
2503.00129,2025-02-28,math.AP,2,
2503.00141,2025-03-04,math.NT,3,
2503.00143,2025-02-28,q-bio.QM,5,
2503.00146,2025-02-28,math.NA,3,
2503.00153,2025-03-04,math.MG,2,
2503.00157,2025-02-28,math.PR,1,
2503.00158,2025-02-28,math.AP,1,
2503.00160,2025-02-28,math.OC,4,
2503.00173,2025-02-28,math.CA,2,
2503.00178,2025-02-28,math.ST,3,
2503.00180,2025-02-28,cs.CE,1,
2503.00181,2025-02-28,math.CO,1,
2503.00183,2025-03-17,math.RT,3,
2503.00185,2025-02-28,math.GR,2,
2503.00189,2025-02-28,math.CO,1,
2503.00207,2025-02-28,math.FA,2,
2503.00212,2025-12-14,math.MG,3,
2503.00220,2025-02-28,math.ST,1,
2503.00222,2025-02-28,math.CO,1,
2503.00225,2025-02-28,math.OC,1,
2503.00227,2026-02-03,cs.GT,2,
2503.00229,2026-02-24,cs.LG,2,
2503.00236,2025-02-28,math.AP,4,
2503.00246,2026-03-03,math.NA,1,
2503.00247,2025-10-23,math.NT,1,
2503.00261,2025-03-01,math.CA,2,
2503.00263,2025-07-02,cs.DS,2,
2503.00270,2025-03-01,math.DG,1,
2503.00273,2025-10-22,stat.ML,3,
2503.00275,2025-05-02,math.RT,1,
2503.00277,2025-03-01,math.CO,1,
2503.00280,2025-12-30,math.AP,3,
2503.00288,2025-03-01,math.NT,2,
2503.00290,2026-03-09,econ.EM,1,
2503.00298,2025-03-01,cs.IT,5,
2503.00299,2025-03-01,cs.LG,4,
2503.00300,2025-09-09,cs.LG,3,
2503.00310,2025-05-16,math.LO,1,
2503.00311,2025-03-01,math.OC,3,
2503.00313,2025-03-01,eess.SY,3,
2503.00316,2025-03-01,math.DS,1,
2503.00317,2025-03-01,cs.LG,2,
2503.00318,2025-03-01,math.PR,2,
2503.00328,2025-05-23,math.CV,3,
2503.00343,2025-03-01,math.AP,1,
2503.00349,2026-01-27,math.OC,4,
2503.00365,2025-05-21,math.AP,3,
2503.00369,2025-03-01,math.OC,3,
2503.00381,2025-03-01,math.DG,1,
2503.00403,2025-03-01,math.PR,2,
2503.00405,2026-01-10,math.NA,4,
2503.00406,2025-03-01,math.CO,12,
2503.00415,2025-03-01,math.DG,2,
2503.00418,2025-03-05,math.NA,3,
2503.00420,2025-03-01,eess.SP,2,
2503.00423,2025-03-01,math.NA,4,
2503.00425,2025-03-01,math.NA,2,
2503.00432,2025-03-01,physics.class-ph,5,
2503.00434,2025-09-15,math.OC,5,
2503.00438,2025-09-02,math.GT,1,
2503.00440,2025-04-29,math.RA,2,
2503.00446,2025-03-01,math.GT,2,
2503.00451,2025-03-01,math.FA,1,
2503.00454,2025-03-01,math.DS,4,
2503.00457,2025-03-01,math.RA,2,
2503.00472,2025-03-01,math.CO,2,
2503.00492,2025-10-05,stat.ME,2,
2503.00500,2025-03-01,math.SG,1,
2503.00505,2025-03-17,math.DG,1,
2503.00507,2025-03-04,cs.LG,5,
2503.00509,2026-02-17,cs.LG,4,ai:llm
2503.00511,2025-04-19,math.OC,4,
2503.00523,2025-03-01,math.AP,3,
2503.00526,2026-05-18,math-ph,2,
2503.00538,2025-10-13,math.ST,1,
2503.00541,2025-08-25,math.DG,2,
2503.00542,2025-03-01,math.FA,2,
2503.00553,2025-03-01,math.NA,4,
2503.00554,2025-05-23,math.DG,3,
2503.00556,2025-03-01,math.NA,2,
2503.00558,2025-03-01,math.CO,4,
2503.00560,2025-10-14,math.DG,4,
2503.00561,2025-03-01,math.OC,3,
2503.00565,2026-05-20,stat.ML,2,
2503.00570,2025-03-01,math.NT,1,
2503.00571,2025-03-01,math.AP,2,
2503.00579,2025-03-18,math.CA,1,
2503.00588,2025-03-01,math.OC,2,
2503.00603,2025-03-01,q-fin.MF,2,
2503.00608,2025-10-11,math.OC,4,
2503.00613,2025-06-26,math.AP,1,
2503.00621,2025-11-01,math.AG,2,
2503.00628,2025-03-01,math.QA,1,
2503.00633,2026-07-07,math.NA,2,
2503.00638,2025-03-06,cs.CR,3,
2503.00640,2025-03-01,stat.ML,5,
2503.00644,2025-03-01,math.CO,1,
2503.00645,2025-03-01,nlin.SI,4,
2503.00649,2025-03-01,math.AP,3,
2503.00651,2025-03-01,math.AP,3,
2503.00656,2025-03-01,math.NT,4,
2503.00662,2025-03-01,math.CO,1,
2503.00667,2025-03-04,math.OC,5,
2503.00671,2025-03-02,math.AC,2,
2503.00672,2025-03-02,cs.DM,2,
2503.00685,2025-07-29,math.RT,2,
2503.00688,2025-03-02,math.AG,1,
2503.00696,2026-05-29,math.AG,2,
2503.00698,2025-04-24,math.NA,1,
2503.00700,2025-03-02,math.AP,3,
2503.00708,2026-04-14,math.AP,1,
2503.00718,2026-04-30,math.PR,1,
2503.00720,2025-08-27,math.DS,4,
2503.00722,2025-03-02,eess.SP,2,
2503.00749,2025-12-22,math.RT,2,
2503.00756,2025-07-05,math.FA,2,
2503.00759,2025-12-15,math.CO,3,
2503.00763,2025-03-02,cs.IT,5,
2503.00766,2025-10-18,math.CO,1,
2503.00768,2025-03-04,math.NA,2,
2503.00773,2026-02-13,math.KT,1,
2503.00776,2025-03-02,q-bio.MN,3,
2503.00787,2025-03-02,math.NT,3,
2503.00788,2025-03-02,cs.GT,4,
2503.00798,2026-01-16,math.CO,1,
2503.00800,2025-03-02,math.AP,1,
2503.00819,2025-03-02,math.NT,3,
2503.00820,2025-03-02,math.RA,1,
2503.00826,2025-03-02,math.DS,3,
2503.00827,2025-03-02,math.NA,2,
2503.00829,2025-12-19,math-ph,2,
2503.00830,2025-03-02,math-ph,2,
2503.00832,2025-03-02,math.RA,1,
2503.00834,2025-03-02,nlin.SI,4,
2503.00843,2025-03-02,math.NT,1,
2503.00849,2026-02-25,math.PR,1,
2503.00850,2025-03-02,math.AC,2,
2503.00852,2025-03-11,cs.LG,4,
2503.00857,2025-03-02,math.AP,2,
2503.00859,2025-03-02,math.CO,1,
2503.00864,2025-03-02,math.DG,3,
2503.00869,2025-03-02,math.AP,1,
2503.00873,2025-03-02,math.AP,4,
2503.00879,2025-03-02,math.RT,2,
2503.00880,2026-01-02,math.OC,4,
2503.00886,2026-01-02,math.RT,2,
2503.00891,2025-03-02,math.FA,3,
2503.00892,2025-03-02,cs.LG,2,
2503.00893,2025-03-02,math.PR,1,
2503.00895,2025-03-02,math.AP,3,
2503.00896,2025-03-02,math.CO,2,
2503.00909,2025-03-02,math.CO,1,
2503.00911,2025-09-20,math.NT,1,
2503.00921,2026-06-06,math.PR,3,
2503.00926,2025-03-21,math.AG,4,
2503.00927,2025-03-02,math.OC,1,
2503.00934,2025-03-05,math.NA,4,
2503.00942,2025-08-03,stat.ME,3,
2503.00949,2025-08-28,math.MG,1,
2503.00950,2025-03-02,cs.CR,2,
2503.00954,2025-03-02,math.GR,2,
2503.00959,2025-06-25,math.NT,2,formal:lean;formal:mathlib
2503.00960,2025-03-02,cs.FL,1,
2503.00963,2025-03-02,math.NA,3,
2503.00964,2025-03-02,math.LO,1,
2503.00970,2025-03-02,math.MG,2,
2503.00973,2025-03-02,math.NT,3,
2503.00987,2025-03-02,math.PR,2,
2503.00988,2025-03-02,math.FA,2,
2503.00989,2025-09-18,math.NA,4,
2503.00990,2025-05-21,math.CO,1,
2503.00991,2025-03-02,math.PR,3,
2503.00997,2026-01-04,math.OC,1,
2503.01002,2025-03-02,math.CT,1,
2503.01004,2025-04-03,math.PR,4,
2503.01005,2025-12-08,math.CO,3,
2503.01008,2025-03-11,math.AP,1,
2503.01010,2025-03-02,math.NA,2,
2503.01021,2025-03-02,math.OC,3,
2503.01023,2025-05-16,math.DS,2,
2503.01026,2025-03-12,math.CO,1,
2503.01027,2025-04-05,math.CO,2,
2503.01032,2026-07-06,math.CO,3,
2503.01036,2025-04-04,stat.ML,5,
2503.01042,2025-04-29,math.OC,4,
2503.01043,2025-03-18,math.AG,1,
2503.01056,2025-03-02,math.OC,4,
2503.01057,2026-05-25,math.NA,3,
2503.01059,2025-03-02,math.CV,1,
2503.01060,2025-03-02,math.OC,2,
2503.01061,2025-03-02,math.CV,1,
2503.01065,2025-03-03,stat.ME,1,
2503.01070,2025-03-03,math.OC,3,
2503.01077,2025-03-03,stat.ML,3,
2503.01083,2025-03-03,math.AG,1,
2503.01084,2025-03-03,math.DG,2,
2503.01093,2026-05-03,nlin.PS,4,
2503.01094,2026-04-20,math.CA,2,
2503.01104,2025-03-03,math.CV,1,
2503.01110,2025-03-03,math.OC,2,
2503.01118,2025-09-16,cs.IT,3,
