id,created,primary,mcats,nauth,flags
2512.00002,2025-09-21,econ.EM,math.IT,1,
2512.00043,2025-11-15,math.CO,math.CO;math.AT,2,
2512.00064,2025-11-24,math-ph,math.MP,1,
2512.00071,2026-02-12,math.GM,math.GM,1,
2512.00081,2026-05-21,cs.LO,math.LO,1,formal:lean
2512.00101,2026-04-30,cs.DM,math.CO,1,
2512.00121,2025-11-27,math.DS,math.DS,1,
2512.00124,2025-11-28,math.CO,math.CO,4,
2512.00128,2025-11-28,math-ph,math.MP,1,
2512.00132,2025-11-28,q-bio.NC,math.MP,3,
2512.00135,2025-11-28,cs.IT,math.IT,3,
2512.00141,2025-11-28,physics.ed-ph,math.CT,15,
2512.00167,2025-11-28,math.FA,math.FA,1,
2512.00171,2025-11-28,eess.SP,math.IT,1,
2512.00178,2026-05-22,math.NT,math.NT,1,
2512.00182,2026-05-20,math.NT,math.NT;math.RT,7,
2512.00184,2026-04-14,math.FA,math.FA,2,
2512.00190,2026-04-14,math.CO,math.CO;math.SP,4,
2512.00192,2025-11-28,math.DS,math.DS,1,
2512.00195,2025-11-28,math.DS,math.DS;math.SP,3,
2512.00196,2025-11-28,cs.LG,math.DG,3,
2512.00197,2025-11-28,math.GT,math.GT;math.GR,1,
2512.00201,2025-12-19,math.AG,math.AG;math.DS;math.NT,1,
2512.00202,2025-11-28,math.NT,math.NT;math.DS,1,
2512.00206,2025-11-28,math.AT,math.AT,2,
2512.00209,2026-02-27,cs.LO,math.CT,3,
2512.00213,2026-02-04,math.PR,math.PR,2,
2512.00216,2025-11-28,math.RA,math.RA,1,
2512.00217,2025-12-05,math.CO,math.CO,2,
2512.00220,2025-12-23,stat.CO,math.PR;math.ST,2,
2512.00222,2025-11-28,math.ST,math.ST,3,
2512.00224,2025-11-28,math.OA,math.OA;math.LO,1,
2512.00227,2025-11-28,math.FA,math.FA;math.OA,2,
2512.00228,2025-11-28,math.AG,math.AG,3,
2512.00230,2025-11-28,math.FA,math.FA;math.GN;math.LO,2,
2512.00235,2026-03-14,math.LO,math.LO,3,
2512.00236,2025-11-28,math.PR,math.PR,1,
2512.00238,2025-11-28,math-ph,math.MP,2,
2512.00244,2025-11-28,math.AP,math.AP,2,
2512.00248,2025-11-28,cs.IT,math.IT,4,
2512.00256,2025-11-29,math.FA,math.FA,1,
2512.00258,2025-11-29,math.MG,math.MG;math.GT,3,
2512.00263,2026-05-08,math.RT,math.RT;math.GR;math.NT,1,
2512.00266,2026-06-18,math.NA,math.NA,2,
2512.00268,2025-11-29,math.OC,math.OC,1,
2512.00273,2026-03-05,eess.SY,math.OC,4,
2512.00278,2025-11-29,math-ph,math.CO;math.MP,2,
2512.00286,2025-11-29,math.RA,math.RA,1,
2512.00315,2026-02-16,physics.soc-ph,math.PR,3,
2512.00316,2025-12-04,stat.ME,math.ST,2,
2512.00317,2025-11-29,math.NA,math.NA;math.OC,2,
