id,created,primary,nauth,flags
2507.00001,2026-06-15,math.DG,1,
2507.00009,2025-06-12,math.GM,1,
2507.00010,2025-09-29,math.GM,2,
2507.00017,2025-06-14,math.GM,3,
2507.00021,2025-06-16,math.GM,2,
2507.00027,2025-06-17,math.GM,3,
2507.00035,2025-06-18,math.GM,2,
2507.00040,2025-09-22,math.GM,1,
2507.00047,2025-06-24,cs.DM,1,
2507.00056,2025-06-26,math.DG,2,
2507.00059,2025-07-31,cs.DM,1,
2507.00060,2025-06-27,math.MG,1,
2507.00063,2025-06-27,math-ph,4,
2507.00065,2025-06-27,quant-ph,1,
2507.00071,2025-06-28,cond-mat.stat-mech,1,
2507.00076,2025-06-29,astro-ph.IM,5,
2507.00084,2025-06-30,physics.class-ph,2,
2507.00091,2026-03-05,cs.IT,5,
2507.00093,2025-06-30,cs.DM,2,
2507.00099,2025-06-30,gr-qc,2,
2507.00104,2025-06-30,math.DG,2,
2507.00116,2025-07-15,hep-th,4,
2507.00138,2025-06-30,cond-mat.str-el,2,
2507.00140,2026-06-15,math-ph,1,
2507.00145,2025-06-30,cs.CR,1,
2507.00146,2025-06-30,math.CT,2,
2507.00147,2025-07-09,math.NT,3,
2507.00156,2025-06-30,math.NA,2,
2507.00160,2025-06-30,math.AP,3,
2507.00167,2025-06-30,math.AG,2,
2507.00175,2025-06-30,math.GT,4,
2507.00179,2025-06-30,math.NT,1,
2507.00183,2025-06-30,math.AP,1,
2507.00186,2026-03-14,math.FA,1,
2507.00193,2025-11-20,math.NA,3,
2507.00194,2025-06-30,math.QA,2,
2507.00195,2025-06-30,cs.LG,1,
2507.00200,2025-06-30,math.AG,2,
2507.00203,2025-06-30,math.DS,3,
2507.00204,2026-02-27,math.CA,2,
2507.00211,2026-02-09,math.GR,4,
2507.00212,2025-12-18,math.CT,1,
2507.00213,2025-06-30,math.GR,2,
2507.00218,2025-06-30,cs.AI,6,
2507.00219,2025-07-02,math.NA,2,
2507.00221,2025-10-15,math.KT,1,
2507.00222,2026-05-20,math.CV,2,
2507.00228,2025-07-03,math.NT,3,
2507.00240,2025-06-30,math.OC,5,
2507.00244,2025-06-30,cs.CL,2,
2507.00250,2025-06-30,math.OC,3,
2507.00251,2025-06-30,math.AT,1,
2507.00252,2025-06-30,math.CO,2,
2507.00254,2026-02-10,quant-ph,3,
2507.00260,2026-06-06,stat.ML,3,
2507.00267,2026-01-26,math.NA,2,
2507.00278,2025-06-30,math.NA,4,
2507.00283,2025-06-30,math.GR,2,
2507.00295,2025-06-30,math.AP,1,
2507.00301,2026-01-08,cs.LG,3,
2507.00309,2025-06-30,math.AG,1,
2507.00313,2025-06-30,math.CO,4,
