id,created,primary,nauth,flags
2605.00001,2026-01-20,math.GM,1,
2605.00002,2026-02-14,math.OC,3,
2605.00003,2026-02-16,math.OC,3,
2605.00004,2026-02-16,math.OC,4,
2605.00006,2026-02-22,math.OC,1,
2605.00007,2026-02-23,math.OC,1,
2605.00008,2026-02-26,math.OC,2,
2605.00009,2026-02-28,math.GM,4,
2605.00010,2026-03-11,math.OC,3,
2605.00013,2026-04-07,math.RT,1,
2605.00020,2026-04-19,cs.LG,5,
2605.00031,2026-04-23,math.CO,2,
2605.00040,2026-04-28,math.NT,1,
2605.00041,2026-04-28,math.GR,5,
2605.00042,2026-04-29,math.GM,2,
2605.00045,2026-04-29,math.GM,3,
2605.00046,2026-04-29,math.GM,2,
2605.00047,2026-04-29,math.GM,4,
2605.00048,2026-04-29,math.GM,2,
2605.00049,2026-04-29,cs.IT,4,
2605.00075,2026-04-30,quant-ph,1,
2605.00079,2026-04-30,math.CO,2,
2605.00088,2026-04-30,quant-ph,3,
2605.00097,2026-05-11,math.FA,3,
2605.00110,2026-04-30,math.AP,1,
2605.00117,2026-06-27,quant-ph,1,
2605.00131,2026-05-04,math.OC,4,
2605.00132,2026-04-30,quant-ph,2,
2605.00135,2026-04-30,cond-mat.stat-mech,2,
2605.00138,2026-04-30,math.AG,1,
2605.00139,2026-04-30,math.RA,2,
2605.00141,2026-04-30,math.RA,1,
2605.00148,2026-04-30,math.PR,2,
2605.00150,2026-04-30,math.SP,2,
2605.00151,2026-04-30,math.DG,1,
2605.00155,2026-05-17,cs.LG,3,ai:llm_full
2605.00157,2026-04-30,quant-ph,1,
2605.00158,2026-04-30,math.OC,4,
2605.00160,2026-04-30,math.OC,2,
2605.00164,2026-04-30,math.AG,1,
2605.00173,2026-05-05,math.DS,3,
2605.00186,2026-05-05,math.DS,3,
2605.00189,2026-04-30,math.AP,3,
2605.00190,2026-05-05,math.DS,3,
2605.00192,2026-04-30,cs.LO,6,
2605.00194,2026-04-30,cs.FL,1,
2605.00196,2026-04-30,stat.ME,3,
2605.00198,2026-06-10,math.ST,1,
2605.00204,2026-06-30,math.FA,2,
2605.00207,2026-04-30,cond-mat.stat-mech,4,
2605.00212,2026-04-30,math.OC,5,
2605.00213,2026-04-30,math.FA,3,
2605.00217,2026-04-30,math.AG,4,
2605.00228,2026-06-24,math-ph,2,
2605.00229,2026-04-30,stat.ML,3,
2605.00235,2026-04-30,nlin.SI,2,
2605.00249,2026-04-30,eess.SP,5,
2605.00255,2026-04-30,cs.IT,4,
2605.00258,2026-04-30,cs.IT,2,
2605.00263,2026-04-30,math.GT,3,
2605.00266,2026-05-04,math.LO,1,
2605.00278,2026-04-30,math.AC,7,
2605.00281,2026-04-30,cs.LG,3,
2605.00284,2026-04-30,cs.LG,2,
2605.00285,2026-04-30,math.AG,3,
2605.00298,2026-04-30,cs.LG,4,
2605.00299,2026-05-01,math.MG,2,
2605.00301,2026-05-01,math.NT,8,ai:gpt
2605.00305,2026-05-01,math.DS,2,
2605.00306,2026-05-01,cs.IT,5,
2605.00308,2026-05-01,math.NA,2,
2605.00309,2026-05-01,math.AG,1,
2605.00311,2026-05-01,math.OC,1,
2605.00316,2026-05-01,math-ph,3,
2605.00328,2026-05-07,math.NA,3,
2605.00332,2026-05-01,stat.ME,4,
2605.00346,2026-05-01,math.GT,1,
2605.00355,2026-05-01,math.AG,1,
2605.00363,2026-05-01,math.ST,1,
2605.00375,2026-06-12,math.FA,2,
2605.00376,2026-05-01,cs.IT,5,
2605.00378,2026-05-11,math.CO,1,
2605.00386,2026-05-01,math.OC,1,
2605.00387,2026-05-01,math.OC,1,
2605.00388,2026-05-01,math.OC,1,
2605.00395,2026-05-01,math.OC,1,
2605.00396,2026-07-07,math.OC,3,
2605.00403,2026-05-11,math-ph,3,
2605.00407,2026-05-01,math.AP,3,
2605.00409,2026-05-01,math.NA,3,
2605.00418,2026-05-01,math.AC,2,
2605.00439,2026-07-07,math.AP,2,
2605.00442,2026-05-01,math.DS,2,
2605.00449,2026-05-01,cs.IT,6,
2605.00452,2026-05-01,math.CO,1,
2605.00455,2026-05-01,stat.ME,2,
2605.00456,2026-05-01,math.NA,4,
2605.00463,2026-06-17,math.AC,1,
2605.00469,2026-05-01,math.RA,3,
2605.00473,2026-05-06,cs.LG,3,
2605.00478,2026-05-01,math-ph,1,
2605.00483,2026-05-01,math.DG,3,
2605.00484,2026-05-01,math.AP,2,
2605.00492,2026-06-16,math.CO,1,
2605.00507,2026-05-01,math.NT,3,
2605.00512,2026-05-01,math.NT,1,
2605.00514,2026-05-01,math.CO,1,
2605.00516,2026-05-01,math.AG,1,
2605.00518,2026-05-01,math.CO,2,
2605.00520,2026-05-01,gr-qc,1,
2605.00523,2026-05-01,math.LO,1,
2605.00524,2026-05-01,math.CO,3,
2605.00525,2026-05-01,math.DG,3,
2605.00530,2026-05-01,math.FA,1,
2605.00532,2026-05-01,math.OC,3,
2605.00533,2026-05-01,math.PR,1,
2605.00541,2026-05-01,math.AT,5,
2605.00542,2026-05-01,math.PR,2,
2605.00545,2026-06-10,cs.LG,5,
2605.00550,2026-06-01,math.AP,3,
2605.00572,2026-05-01,cs.AI,4,
2605.00573,2026-05-01,math.NT,1,
2605.00579,2026-05-01,cs.IT,1,
