id,created,primary,nauth,flags
2506.00012,2025-05-17,math.HO,1,
2506.00013,2025-05-17,math.GM,1,
2506.00015,2025-05-18,math.GM,3,
2506.00016,2025-05-18,math.GM,3,
2506.00017,2025-05-18,math.GM,3,
2506.00023,2025-05-22,math.GM,2,
2506.00024,2025-07-09,math.GN,4,
2506.00025,2025-09-02,stat.AP,6,
2506.00026,2025-05-23,math.GM,2,
2506.00031,2025-06-30,math.GN,1,
2506.00067,2025-05-29,physics.flu-dyn,4,
2506.00093,2025-05-30,math.CO,1,
2506.00122,2025-06-07,math.RT,3,
2506.00170,2025-05-30,math.CT,1,
2506.00171,2025-05-30,stat.ML,3,
2506.00182,2026-05-15,stat.ML,2,
2506.00183,2025-12-17,math.DS,2,
2506.00186,2025-05-30,math.AG,2,
2506.00190,2025-05-30,math.NA,4,
2506.00196,2025-11-25,math.OC,2,
2506.00207,2026-01-31,math.NA,3,
2506.00226,2025-05-30,stat.ML,1,
2506.00231,2025-10-15,math-ph,1,
2506.00234,2025-07-04,math.SG,2,
2506.00250,2026-05-26,cs.CL,6,ai:gpt;ai:llm;ai:llm_full
2506.00252,2025-05-30,math.OC,2,
2506.00255,2025-05-30,math.AG,3,
2506.00266,2026-01-27,math.NT,1,
2506.00268,2025-06-23,math.AP,2,
2506.00286,2026-05-18,cs.LG,2,
2506.00289,2026-04-27,math.AG,1,
2506.00301,2025-10-31,math.DS,2,
2506.00316,2025-05-31,cs.LG,4,
2506.00323,2025-11-07,math.AG,1,
2506.00330,2026-06-10,physics.data-an,3,
2506.00336,2025-05-31,math.NA,5,
2506.00346,2025-05-31,quant-ph,2,
2506.00349,2025-05-31,math.CO,3,
2506.00360,2026-03-30,math.CO,2,
2506.00362,2025-10-24,cs.LG,2,
2506.00364,2025-05-31,math.CA,3,
2506.00369,2025-05-31,math.CO,3,
2506.00380,2025-06-27,math.CO,1,
2506.00390,2025-05-31,math.AP,2,
2506.00392,2025-05-31,math.AP,1,
2506.00393,2025-05-31,math.ST,2,
2506.00395,2025-05-31,math.QA,2,
2506.00399,2025-05-31,physics.flu-dyn,2,
2506.00401,2025-06-25,math.ST,1,
2506.00405,2025-05-31,math.DS,2,
2506.00412,2025-05-31,math.AP,3,
2506.00414,2025-05-31,math.CO,3,
2506.00423,2025-05-31,math.RT,1,
2506.00429,2025-05-31,math.CO,4,
2506.00442,2025-08-21,math.AP,1,
2506.00443,2026-01-09,math.LO,3,
2506.00444,2026-04-10,math.ST,2,
2506.00451,2025-05-31,math-ph,2,
2506.00456,2025-05-31,math.NT,1,
2506.00463,2025-05-31,math.DS,2,
2506.00465,2025-10-11,math.OC,2,
2506.00485,2025-07-24,math.SG,1,
2506.00489,2025-05-31,q-bio.PE,4,
2506.00501,2025-05-31,math.OC,4,
2506.00502,2025-11-03,math.OC,5,
2506.00504,2025-05-31,quant-ph,3,
2506.00521,2025-08-19,math.OC,3,
2506.00529,2025-05-31,math.AC,5,
2506.00542,2025-07-09,math.RT,2,
2506.00544,2026-03-20,math.SG,1,
2506.00547,2025-05-31,math.PR,1,
2506.00553,2025-11-10,math.AG,1,
2506.00565,2026-03-12,math.DG,1,
2506.00567,2026-07-02,math.FA,4,
2506.00571,2026-03-05,math.CA,2,
2506.00584,2025-05-31,math.SP,2,
2506.00590,2026-02-05,math.MG,4,
2506.00601,2025-05-31,cs.IT,5,
2506.00606,2025-05-31,quant-ph,6,
2506.00610,2026-03-02,math.RA,2,
2506.00615,2025-06-14,cs.LO,1,
2506.00632,2025-05-31,math.RA,2,
2506.00638,2025-05-31,math.OC,2,
2506.00646,2026-03-09,math.AC,3,
2506.00648,2026-05-13,math.OC,2,
